,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
261,-73.58,-15.820000000000002,-40.854517311863965,-22.171751997480833,153.0,0.0,19.99222231822656,52.77359,487.23339,487.23339,47.02693,-16.64571,-22.89332,-17.34727,9.49739,-11.05403,-55.88326,49.33154,3432.7810499999996,-0.8609974814480268,0.0
262,-78.18,-8.17,-41.808681218991005,-14.806787211831761,134.0,0.0,35.50244969004867,55.64705,1149.94997,1149.94997,19.6287,46.99892,20.32107,-28.52107,-38.88469,37.97764,-26.78078,44.32388,4540.082800000001,-0.7735977418204945,0.0
263,-75.15,-14.18,-62.916437311716074,-18.999088050938628,53.0,0.0,56.02624064678254,58.26807,5292.73094,2119.02112,-13.34691,-66.61195,-55.55515,5.07681,19.12187,-81.18059,-44.29497,76.74573,3706.71098,-1.339465758331183,0.0
264,-71.35,-14.96,-61.9470543334509,-19.6364830983258,43.0,0.0,62.16145613515819,58.96527,5063.95282,2399.73665,81.70184,-24.69196,-3.02611,32.12969,66.60376,-60.85776,-45.95393,42.41884,3378.69739,-0.7403483919869603,0.0
265,-79.28,-6.08,-45.63016305594523,-9.85451199080801,161.0,0.0,48.01931286281877,55.96613,2594.36505,1923.72996,52.99956,16.07545,-10.62486,-28.57196,37.31237,7.13399,-14.84678,10.82412,4820.128840000001,0.1889163863247368,0.0
266,-69.9,-17.68,-57.13094071608642,-22.217172128574457,54.0,0.0,47.19336433914259,58.35577,4664.42755,2642.0185,-5.88127,-67.06867,-50.79311,-5.73928,24.27363,-76.90521,-33.24237,72.48272,3105.50119,-1.2650620185619024,0.0
267,-78.61,-6.76,-75.69318886740838,-8.977947812054325,17.0,0.0,42.65868012383951,56.12853,5375.24758,1063.27247,90.02813,7.77262,-14.50935,23.24845,108.61843,-12.37457,-21.23746,6.49951,4708.085680000001,-0.1134378863473279,0.0
268,-76.25,-10.63,-54.72188701415085,-13.706874043715496,77.0,0.0,54.10010851339116,55.61571,3639.50798,2976.65766,-0.1653,61.01438,-40.37003,34.88725,15.53396,1.02348,-30.26394,3.76957,4149.62273,0.06579152092352164,0.0
269,-71.55,-16.55,-56.77853610964616,-19.450773489451752,60.0,0.0,44.06720655935781,54.59482,3155.02871,2495.84523,-28.81842,-1.41434,-43.93693,-0.20348,-2.10923,-12.94039,-42.26965,80.74242,3269.43081,1.4092213569157424,0.0
270,-71.59,-16.539999999999996,-61.153924778176155,-21.9755408437382,47.0,0.0,56.2622285313654,58.43306,4905.94951,2491.52558,77.33807,-26.94034,-2.37263,32.33397,61.55063,-62.41865,-45.49803,45.40117,3269.43081,-0.7923999449281321,0.0
271,-72.33,-14.030000000000001,-43.97399894990103,-18.605999335854996,90.0,0.0,46.965004289469164,53.81943,53.81943,53.81943,77.54101,-15.07089,-26.55968,55.56235,87.66024,-75.30167,-48.1251,40.66315,3432.7810499999996,-0.7097058810346576,0.0
272,-71.36,-16.77,-63.44636458268755,-20.87388859353795,37.0,0.0,63.10349800208501,54.00632,3833.23989,2616.1451,25.42942,-2.73216,-18.46188,20.28154,30.01335,-26.40449,-45.88406,41.33996,3214.7205599999998,-0.7215185486074266,0.0
273,-75.42,-14.23,-42.09318324172115,-16.44455548314801,169.0,0.0,31.17845268001176,55.06338,1763.02133,1763.02133,52.71055,-4.12849,-25.32762,-11.14276,48.87657,-6.2732,-36.766,7.31381,3761.8209899999997,-0.127649915720963,0.0
274,-71.77,-14.46,-38.45521625305141,-21.454513795874483,147.0,0.0,18.810908612008653,53.08568,378.68849,378.68849,52.41878,-8.02954,15.55851,-1.69346,2.24631,-23.67182,-45.18213,84.57921,3378.69739,-1.4761857881291331,0.0
275,-71.26,-14.949999999999996,-65.42459632031405,-18.803203809250984,29.0,0.0,66.51228010314773,54.29476,3994.37798,2450.87623,90.8351,-10.22916,-6.43554,29.13501,91.28271,-39.13317,-45.46711,23.20496,3378.69739,-0.4050029211228355,0.0
276,-72.35,-14.18,-43.98809342077884,-18.756657793476116,90.0,0.0,47.272458859358025,53.81943,53.81943,53.81943,77.54101,-15.07089,-26.55968,55.56235,87.66024,-75.30167,-48.1251,40.66315,3432.7810499999996,-0.7097058810346576,0.0
277,-70.71,-17.05,-39.99907786924283,-21.770647485099797,96.0,0.0,36.007148118180886,54.08174,162.0449,162.0449,71.86416,36.47226,-24.72799,28.69589,70.52321,-2.45706,-42.31875,1.9954,3160.06366,-0.03482635788443797,0.0
278,-70.7,-17.039999999999996,-36.875265027846524,-18.30964325063541,175.0,0.0,22.559147858004522,54.60965,1218.84018,1218.84018,46.98567,-6.35767,-26.33537,-11.75503,44.23328,-10.67498,-37.79588,13.56796,3160.06366,-0.23680563724005965,0.0
279,-78.32,-7.02,-43.242999349559604,-6.841282707369664,179.0,0.0,49.6115903696926,55.89641,2711.85305,1596.86159,63.58396,13.32404,-17.25388,-18.84225,65.67124,7.99437,-16.94379,6.94065,4708.085680000001,0.1211371674284401,0.0
280,-75.72,-13.77,-64.75748220467511,-19.539485940399658,50.0,0.0,60.35494377658062,58.46944,5341.4376,2034.25548,46.4675,-42.53647,-14.06479,20.04088,32.87906,-69.20025,-45.08501,64.58624,3816.9754299999995,-1.1272425732386857,0.0
281,-79.12,-6.36,-78.02854428727086,-7.233650758342622,7.0,0.0,30.223935799371628,56.09074,5098.42994,1116.94233,89.43879,-7.45933,-10.83602,19.18249,100.85991,-26.02532,-21.14447,14.46867,4764.103460000001,-0.25252598073524435,0.0
282,-78.58,-7.12,-54.56407139675286,-10.564833818995206,82.0,0.0,46.648169776062865,56.03899,4197.66197,2420.33906,-21.09577,66.11676,-48.49003,25.75732,7.78757,7.08388,-18.11125,42.29089,4708.085680000001,0.7381152478342047,0.0
283,-72.99,-14.46,-42.501591807466504,-19.314625440350525,96.0,0.0,34.74751078033448,53.95757,483.14517,483.14517,78.56158,26.56462,-20.47556,31.77166,73.55263,-11.76329,-49.13269,9.08638,3432.7810499999996,-0.15858724579399894,0.0
284,-73.13,-14.16,-35.160915473073,-19.965081213199873,123.0,0.0,22.25361473598177,53.84601,107.62515,107.62515,-12.47006,-38.12518,18.16685,11.40468,-27.67412,-62.81134,-46.1956,66.22213,3596.62819,1.1557943007147158,0.0
285,-76.14,-12.98,-75.19720495292299,-13.727852222727076,6.0,0.0,41.334069523266656,55.20179,4094.2261,2010.7306,82.75624,-42.36006,-2.10172,21.74221,85.32352,-63.76019,-44.79865,36.76987,3872.1732899999997,-0.6417552520287574,0.0
286,-77.77,-8.22,-48.7264377417349,-13.155595995026342,93.0,0.0,38.620708783533,55.55865,1200.29926,1200.29926,88.86757,4.17427,-26.30695,26.28761,93.72629,-39.7158,-34.2566,22.96443,4484.406400000001,-0.4008049391343847,0.0
287,-78.32,-7.300000000000001,-67.97771644671509,-13.022918474200166,48.0,0.0,69.2515991769994,60.2845,6235.12889,1139.07589,95.73136,5.58162,-18.62962,26.52718,99.89145,-30.40923,-21.41626,16.93144,4652.075990000001,-0.2955094087644836,0.0
288,-78.36,-6.910000000000001,-65.68390017844669,-11.38630917083245,54.0,0.0,67.66367333687742,59.81299,6244.18194,1062.26412,29.14003,-60.08473,-58.82391,-17.61409,70.46503,-61.43628,-20.16371,41.08417,4708.085680000001,-0.7170539742988989,0.0
289,-69.66,-14.999999999999998,-31.613014770339237,-20.5650247088048,118.0,0.0,24.72913999758307,52.90695,52.90695,52.90695,-18.94342,-22.94916,-19.5936,-5.81896,-91.24696,-72.70845,-57.63845,38.54894,3214.7205599999998,0.6728059282291635,0.0
290,-78.0,-8.79,-40.62214627224221,-15.257170472471495,114.0,0.0,51.95745551527565,55.52943,1142.11551,1142.11551,12.76618,-28.91285,-19.42203,-13.75269,-37.16355,-99.9989,-33.06479,69.61294,4428.555510000001,1.2149750210180275,0.0
291,-75.35,-13.93,-42.11716564052645,-20.649809034913314,147.0,0.0,21.849639371342302,54.5895,756.22695,756.22695,58.58557,-3.49496,16.93548,-0.38227,8.84321,-23.03796,-39.74719,69.0005,3761.8209899999997,-1.204286047363798,0.0
292,-76.08,-11.48,-43.950095145624346,-16.842393386863055,101.0,0.0,36.35549910188316,54.8546,1190.90698,1190.90698,77.25653,40.29418,-31.96652,41.93348,71.76161,-29.57451,-38.50603,22.39762,4093.90633,-0.39091216595668155,0.0
293,-71.31,-14.98,-54.59023489602567,-17.500740339537437,67.0,0.0,43.61264100808597,54.73734,3099.49143,2441.70938,31.92675,14.92243,-24.92012,14.00034,32.93287,-12.35373,-41.81436,20.562,3378.69739,-0.3588745887073687,0.0
294,-70.62,-17.110000000000003,-69.6531955934129,-17.85271772901776,6.0,0.0,48.213226507701314,54.65641,3328.53949,2776.4172,89.59456,-29.21665,-4.83442,21.27099,94.66201,-50.11097,-37.72833,27.89528,3160.06366,-0.48686447879625266,0.0
295,-79.31,-4.94,-45.733206303030805,-10.589512262128753,154.0,0.0,48.47487396297797,56.13205,2147.23928,1813.38033,51.10416,49.0954,3.41154,-30.37766,39.38747,23.80904,12.23124,31.15223,5099.292430000001,0.5437090073197712,0.0
296,-78.67,-6.73,-70.65748724361403,-11.057386761093897,39.0,0.0,62.72724926783565,56.14919,5373.6765,1076.3011,46.13641,13.21524,-25.08597,12.24246,60.45651,-7.46828,-22.30925,7.04216,4708.085680000001,-0.1229087716599542,0.0
297,-75.09000000000002,-13.69,-37.112535574839725,-19.12436335097203,121.0,0.0,30.74006273996365,54.09642,269.79929,269.79929,-8.81852,-39.6833,11.56758,7.99788,-19.41449,-59.05957,-46.36908,71.8029,3761.8209899999997,1.2531969602939599,0.0
298,-71.31,-14.910000000000002,-38.3989922601768,-21.93465686858809,151.0,0.0,17.739842539030647,53.93117,323.86191,323.86191,48.04991,-3.42257,-17.25992,-22.78837,8.88338,-7.68381,-40.9949,40.85864,3378.69739,-0.713117936732042,0.0
299,-70.61,-17.25,-37.243172108660744,-24.16011236408583,145.0,0.0,11.744394980533778,53.94534,163.59542,163.59542,49.62662,-2.26253,14.87833,0.05195,2.36178,-23.78566,-38.97366,84.32944,3160.06366,-1.4718264550243367,0.0
300,-76.13,-11.6,-43.993914373345916,-16.965039862101882,101.0,0.0,35.880790238565474,54.8546,1190.90698,1190.90698,77.25653,40.29418,-31.96652,41.93348,71.76161,-29.57451,-38.50603,22.39762,4093.90633,-0.39091216595668155,0.0
